,timestamp,buyer,seller,symbol,currency,price,quantity
0,0,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,8
2,200,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,8
10,600,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,5
25,1600,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,8
69,5000,Caesar,Camilla,CROISSANTS,SEASHELLS,4267.0,4
93,6400,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,8
102,7100,Caesar,Camilla,CROISSANTS,SEASHELLS,4266.0,7
103,7200,Caesar,Camilla,CROISSANTS,SEASHELLS,4267.0,5
116,7900,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,8
148,10000,Caesar,Paris,CROISSANTS,SEASHELLS,4269.0,8
180,12700,Caesar,Paris,CROISSANTS,SEASHELLS,4266.0,7
189,13700,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,7
201,14200,Caesar,Paris,CROISSANTS,SEASHELLS,4268.0,6
203,14400,Caesar,Camilla,CROISSANTS,SEASHELLS,4268.0,9
211,14800,Caesar,Camilla,CROISSANTS,SEASHELLS,4267.0,10
212,15000,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,5
229,15800,Paris,Caesar,CROISSANTS,SEASHELLS,4267.0,7
247,16900,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,5
270,19000,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,7
297,19900,Caesar,Paris,CROISSANTS,SEASHELLS,4263.0,5
304,20300,Paris,Caesar,CROISSANTS,SEASHELLS,4264.0,6
331,21600,Caesar,Paris,CROISSANTS,SEASHELLS,4264.0,8
336,21800,Paris,Caesar,CROISSANTS,SEASHELLS,4265.0,7
386,24400,Caesar,Camilla,CROISSANTS,SEASHELLS,4263.0,9
399,25800,Paris,Caesar,CROISSANTS,SEASHELLS,4265.0,8
415,26800,Caesar,Camilla,CROISSANTS,SEASHELLS,4264.0,8
436,27900,Caesar,Paris,CROISSANTS,SEASHELLS,4264.0,8
480,30800,Caesar,Paris,CROISSANTS,SEASHELLS,4266.0,6
519,32600,Caesar,Camilla,CROISSANTS,SEASHELLS,4269.0,9
528,33200,Caesar,Camilla,CROISSANTS,SEASHELLS,4268.0,9
543,34700,Paris,Caesar,CROISSANTS,SEASHELLS,4271.0,5
559,35400,Paris,Caesar,CROISSANTS,SEASHELLS,4271.0,5
588,37000,Paris,Caesar,CROISSANTS,SEASHELLS,4270.0,7
595,37400,Caesar,Camilla,CROISSANTS,SEASHELLS,4268.0,7
621,39600,Paris,Caesar,CROISSANTS,SEASHELLS,4273.0,6
623,39900,Caesar,Paris,CROISSANTS,SEASHELLS,4272.0,6
634,40500,Paris,Caesar,CROISSANTS,SEASHELLS,4272.0,5
648,41600,Paris,Caesar,CROISSANTS,SEASHELLS,4269.0,8
652,42200,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,6
660,43200,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,8
675,44100,Caesar,Paris,CROISSANTS,SEASHELLS,4266.0,7
713,46500,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,5
717,46800,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,6
722,47200,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,7
736,47700,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,5
737,47800,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,7
771,49200,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,8
