,timestamp,buyer,seller,symbol,currency,price,quantity
26,1700,Paris,Caesar,DJEMBES,SEASHELLS,13417.0,3
27,2000,Caesar,Paris,DJEMBES,SEASHELLS,13415.0,2
30,2300,Caesar,Paris,DJEMBES,SEASHELLS,13416.0,2
66,4900,Caesar,Camilla,DJEMBES,SEASHELLS,13421.0,7
86,6100,Caesar,Paris,DJEMBES,SEASHELLS,13419.0,5
98,6900,Paris,Caesar,DJEMBES,SEASHELLS,13417.0,2
141,9800,Paris,Caesar,DJEMBES,SEASHELLS,13418.0,4
150,10300,Caesar,Paris,DJEMBES,SEASHELLS,13416.0,3
165,12100,Paris,Caesar,DJEMBES,SEASHELLS,13421.0,1
208,14700,Paris,Caesar,DJEMBES,SEASHELLS,13422.0,1
232,16200,Caesar,Paris,DJEMBES,SEASHELLS,13421.0,4
243,16700,Caesar,Paris,DJEMBES,SEASHELLS,13425.0,3
269,18800,Paris,Caesar,DJEMBES,SEASHELLS,13424.0,4
291,19600,Paris,Caesar,DJEMBES,SEASHELLS,13426.0,5
299,20000,Paris,Caesar,DJEMBES,SEASHELLS,13439.0,1
318,21100,Paris,Caesar,DJEMBES,SEASHELLS,13444.0,5
333,21700,Caesar,Paris,DJEMBES,SEASHELLS,13447.0,3
337,21800,Caesar,Paris,DJEMBES,SEASHELLS,13446.0,5
343,22100,Caesar,Paris,DJEMBES,SEASHELLS,13449.0,1
365,22900,Caesar,Paris,DJEMBES,SEASHELLS,13451.0,5
367,23200,Caesar,Paris,DJEMBES,SEASHELLS,13449.0,3
369,23600,Caesar,Paris,DJEMBES,SEASHELLS,13447.0,2
384,24300,Caesar,Paris,DJEMBES,SEASHELLS,13447.0,1
387,24400,Caesar,Paris,DJEMBES,SEASHELLS,13448.0,3
391,24900,Paris,Caesar,DJEMBES,SEASHELLS,13449.0,3
396,25500,Caesar,Paris,DJEMBES,SEASHELLS,13443.0,3
397,25600,Caesar,Paris,DJEMBES,SEASHELLS,13443.0,3
437,28000,Paris,Caesar,DJEMBES,SEASHELLS,13438.0,5
461,29700,Caesar,Paris,DJEMBES,SEASHELLS,13435.0,5
483,30900,Paris,Caesar,DJEMBES,SEASHELLS,13438.0,4
485,31000,Paris,Caesar,DJEMBES,SEASHELLS,13438.0,3
487,31200,Caesar,Paris,DJEMBES,SEASHELLS,13435.0,4
495,31600,Paris,Caesar,DJEMBES,SEASHELLS,13437.0,2
496,31700,Paris,Caesar,DJEMBES,SEASHELLS,13436.0,3
513,32300,Caesar,Paris,DJEMBES,SEASHELLS,13432.0,1
