,timestamp,buyer,seller,symbol,currency,price,quantity
3,200,Paris,Caesar,JAMS,SEASHELLS,6520.0,7
15,1000,Paris,Caesar,JAMS,SEASHELLS,6522.0,4
16,1200,Caesar,Paris,JAMS,SEASHELLS,6521.0,9
32,2500,Paris,Caesar,JAMS,SEASHELLS,6522.0,6
33,2800,Caesar,Paris,JAMS,SEASHELLS,6520.0,9
34,2900,Caesar,Paris,JAMS,SEASHELLS,6520.0,10
57,4600,Caesar,Camilla,JAMS,SEASHELLS,6523.0,10
74,5500,Caesar,Camilla,JAMS,SEASHELLS,6522.0,4
91,6200,Caesar,Camilla,JAMS,SEASHELLS,6524.0,3
96,6800,Caesar,Paris,JAMS,SEASHELLS,6525.0,5
104,7300,Caesar,Paris,JAMS,SEASHELLS,6526.0,8
108,7500,Paris,Caesar,JAMS,SEASHELLS,6527.0,7
117,7900,Caesar,Paris,JAMS,SEASHELLS,6526.0,5
119,8200,Caesar,Paris,JAMS,SEASHELLS,6524.0,5
128,9300,Caesar,Camilla,JAMS,SEASHELLS,6525.0,9
143,9900,Paris,Caesar,JAMS,SEASHELLS,6521.0,5
149,10100,Paris,Caesar,JAMS,SEASHELLS,6519.0,4
159,10800,Caesar,Paris,JAMS,SEASHELLS,6517.0,8
183,13000,Caesar,Camilla,JAMS,SEASHELLS,6527.0,8
186,13300,Paris,Caesar,JAMS,SEASHELLS,6529.0,8
202,14300,Caesar,Paris,JAMS,SEASHELLS,6529.0,5
204,14400,Paris,Caesar,JAMS,SEASHELLS,6530.0,6
220,15200,Paris,Caesar,JAMS,SEASHELLS,6529.0,5
310,20800,Caesar,Paris,JAMS,SEASHELLS,6532.0,4
346,22400,Caesar,Paris,JAMS,SEASHELLS,6525.0,9
366,23100,Paris,Caesar,JAMS,SEASHELLS,6530.0,8
370,23600,Caesar,Camilla,JAMS,SEASHELLS,6533.0,3
377,24000,Caesar,Paris,JAMS,SEASHELLS,6533.0,9
390,24600,Caesar,Paris,JAMS,SEASHELLS,6534.0,8
400,25800,Paris,Caesar,JAMS,SEASHELLS,6536.0,4
418,26900,Caesar,Camilla,JAMS,SEASHELLS,6531.0,8
426,27500,Caesar,Camilla,JAMS,SEASHELLS,6530.0,12
453,29500,Paris,Caesar,JAMS,SEASHELLS,6536.0,8
467,30000,Paris,Caesar,JAMS,SEASHELLS,6536.0,8
469,30100,Paris,Caesar,JAMS,SEASHELLS,6536.0,10
481,30800,Caesar,Paris,JAMS,SEASHELLS,6531.0,9
484,30900,Paris,Caesar,JAMS,SEASHELLS,6532.0,6
486,31000,Caesar,Camilla,JAMS,SEASHELLS,6531.0,9
514,32400,Caesar,Paris,JAMS,SEASHELLS,6532.0,8
537,33800,Paris,Caesar,JAMS,SEASHELLS,6533.0,10
554,35100,Paris,Caesar,JAMS,SEASHELLS,6534.0,8
555,35200,Paris,Caesar,JAMS,SEASHELLS,6534.0,7
563,35500,Caesar,Paris,JAMS,SEASHELLS,6532.0,7
569,35800,Caesar,Camilla,JAMS,SEASHELLS,6531.0,3
570,35900,Paris,Caesar,JAMS,SEASHELLS,6532.0,5
571,36000,Caesar,Camilla,JAMS,SEASHELLS,6531.0,3
