,timestamp,buyer,seller,symbol,currency,price,quantity
4,200,Paris,Charlie,KELP,SEASHELLS,2046.0,1
6,300,Charlie,Paris,KELP,SEASHELLS,2044.0,1
8,500,Paris,Charlie,KELP,SEASHELLS,2047.0,2
12,900,Charlie,Gary,KELP,SEASHELLS,2043.0,8
17,1200,Camilla,Paris,KELP,SEASHELLS,2043.0,1
22,1500,Charlie,Paris,KELP,SEASHELLS,2044.0,1
35,3200,Paris,Camilla,KELP,SEASHELLS,2045.0,2
48,3700,Charlie,Pablo,KELP,SEASHELLS,2044.0,5
58,4600,Paris,Charlie,KELP,SEASHELLS,2046.0,1
60,4700,Penelope,Charlie,KELP,SEASHELLS,2047.0,4
67,4900,Paris,Charlie,KELP,SEASHELLS,2047.0,2
72,5400,Charlie,Pablo,KELP,SEASHELLS,2044.0,5
75,5700,Gary,Charlie,KELP,SEASHELLS,2047.0,14
80,5800,Gary,Charlie,KELP,SEASHELLS,2047.0,14
82,5900,Gary,Charlie,KELP,SEASHELLS,2047.0,12
83,5900,Pablo,Paris,KELP,SEASHELLS,2045.0,1
87,6100,Charlie,Pablo,KELP,SEASHELLS,2044.0,5
88,6100,Gary,Camilla,KELP,SEASHELLS,2046.0,8
106,7400,Charlie,Paris,KELP,SEASHELLS,2044.0,1
114,7800,Paris,Charlie,KELP,SEASHELLS,2046.0,1
131,9400,Charlie,Paris,KELP,SEASHELLS,2044.0,1
139,9600,Paris,Paris,KELP,SEASHELLS,2046.0,1
144,9900,Paris,Caesar,KELP,SEASHELLS,2046.0,1
145,9900,Charlie,Caesar,KELP,SEASHELLS,2045.0,5
153,10500,Camilla,Paris,KELP,SEASHELLS,2044.0,2
155,10600,Paris,Camilla,KELP,SEASHELLS,2046.0,1
162,11700,Charlie,Caesar,KELP,SEASHELLS,2045.0,3
166,12100,Paris,Camilla,KELP,SEASHELLS,2046.0,1
169,12200,Camilla,Paris,KELP,SEASHELLS,2044.0,1
171,12300,Charlie,Pablo,KELP,SEASHELLS,2044.0,3
173,12400,Charlie,Paris,KELP,SEASHELLS,2044.0,1
181,12900,Penelope,Charlie,KELP,SEASHELLS,2048.0,6
190,13700,Pablo,Camilla,KELP,SEASHELLS,2047.0,3
193,13900,Charlie,Paris,KELP,SEASHELLS,2045.0,1
194,13900,Penelope,Camilla,KELP,SEASHELLS,2047.0,3
197,14000,Charlie,Penelope,KELP,SEASHELLS,2045.0,15
200,14100,Pablo,Charlie,KELP,SEASHELLS,2047.0,4
205,14500,Charlie,Pablo,KELP,SEASHELLS,2046.0,5
209,14700,Paris,Charlie,KELP,SEASHELLS,2047.0,1
213,15000,Paris,Charlie,KELP,SEASHELLS,2047.0,1
221,15200,Camilla,Pablo,KELP,SEASHELLS,2045.0,2
222,15200,Charlie,Pablo,KELP,SEASHELLS,2045.0,1
227,15500,Camilla,Paris,KELP,SEASHELLS,2045.0,1
230,16100,Camilla,Paris,KELP,SEASHELLS,2045.0,1
234,16300,Paris,Camilla,KELP,SEASHELLS,2047.0,1
237,16400,Gary,Caesar,KELP,SEASHELLS,2048.0,1
238,16400,Gary,Charlie,KELP,SEASHELLS,2048.0,8
244,16700,Paris,Charlie,KELP,SEASHELLS,2048.0,2
254,17900,Paris,Charlie,KELP,SEASHELLS,2047.0,1
262,18000,Paris,Paris,KELP,SEASHELLS,2047.0,1
266,18600,Charlie,Paris,KELP,SEASHELLS,2045.0,1
268,18700,Paris,Charlie,KELP,SEASHELLS,2047.0,1
271,19000,Paris,Camilla,KELP,SEASHELLS,2047.0,1
273,19100,Caesar,Pablo,KELP,SEASHELLS,2045.0,1
274,19100,Charlie,Pablo,KELP,SEASHELLS,2045.0,1
276,19200,Paris,Camilla,KELP,SEASHELLS,2046.0,1
278,19300,Gary,Charlie,KELP,SEASHELLS,2048.0,10
288,19500,Caesar,Paris,KELP,SEASHELLS,2045.0,1
289,19500,Charlie,Paris,KELP,SEASHELLS,2045.0,1
292,19700,Caesar,Paris,KELP,SEASHELLS,2045.0,1
293,19700,Caesar,Penelope,KELP,SEASHELLS,2045.0,1
294,19700,Charlie,Penelope,KELP,SEASHELLS,2045.0,14
300,20000,Paris,Camilla,KELP,SEASHELLS,2047.0,1
302,20100,Paris,Charlie,KELP,SEASHELLS,2048.0,2
305,20300,Charlie,Paris,KELP,SEASHELLS,2045.0,1
319,21300,Paris,Charlie,KELP,SEASHELLS,2047.0,1
334,21700,Paris,Camilla,KELP,SEASHELLS,2047.0,1
338,21800,Gina,Charlie,KELP,SEASHELLS,2047.0,10
339,21900,Charlie,Gary,KELP,SEASHELLS,2045.0,13
341,22000,Charlie,Pablo,KELP,SEASHELLS,2045.0,3
349,22600,Gina,Camilla,KELP,SEASHELLS,2047.0,2
350,22600,Gina,Charlie,KELP,SEASHELLS,2047.0,5
352,22700,Charlie,Gary,KELP,SEASHELLS,2045.0,11
372,23700,Paris,Charlie,KELP,SEASHELLS,2048.0,1
388,24400,Charlie,Paris,KELP,SEASHELLS,2046.0,1
401,25800,Charlie,Penelope,KELP,SEASHELLS,2045.0,8
416,26800,Paris,Charlie,KELP,SEASHELLS,2048.0,1
419,27100,Paris,Camilla,KELP,SEASHELLS,2047.0,1
428,27600,Penelope,Charlie,KELP,SEASHELLS,2049.0,10
442,28600,Camilla,Gina,KELP,SEASHELLS,2046.0,1
443,28600,Charlie,Gina,KELP,SEASHELLS,2046.0,6
447,28800,Charlie,Paris,KELP,SEASHELLS,2045.0,2
449,29100,Paris,Charlie,KELP,SEASHELLS,2047.0,1
454,29500,Penelope,Charlie,KELP,SEASHELLS,2049.0,4
462,29800,Camilla,Paris,KELP,SEASHELLS,2045.0,1
464,29900,Caesar,Pablo,KELP,SEASHELLS,2046.0,2
470,30100,Charlie,Pablo,KELP,SEASHELLS,2046.0,3
473,30300,Paris,Camilla,KELP,SEASHELLS,2047.0,1
492,31300,Paris,Charlie,KELP,SEASHELLS,2048.0,1
497,31700,Paris,Camilla,KELP,SEASHELLS,2048.0,1
509,32000,Charlie,Pablo,KELP,SEASHELLS,2047.0,4
511,32200,Charlie,Caesar,KELP,SEASHELLS,2047.0,4
524,32900,Charlie,Paris,KELP,SEASHELLS,2047.0,1
526,33100,Charlie,Paris,KELP,SEASHELLS,2046.0,1
533,33600,Paris,Charlie,KELP,SEASHELLS,2050.0,1
546,34800,Pablo,Penelope,KELP,SEASHELLS,2048.0,3
547,34800,Caesar,Penelope,KELP,SEASHELLS,2048.0,4
556,35200,Charlie,Paris,KELP,SEASHELLS,2047.0,1
586,36900,Charlie,Paris,KELP,SEASHELLS,2046.0,1
599,37800,Charlie,Paris,KELP,SEASHELLS,2046.0,2
601,37900,Charlie,Pablo,KELP,SEASHELLS,2047.0,4
610,38300,Charlie,Gary,KELP,SEASHELLS,2046.0,8
612,38400,Charlie,Gary,KELP,SEASHELLS,2046.0,8
620,39500,Paris,Charlie,KELP,SEASHELLS,2048.0,1
628,40300,Charlie,Pablo,KELP,SEASHELLS,2046.0,2
632,40400,Charlie,Gina,KELP,SEASHELLS,2046.0,8
637,41200,Charlie,Paris,KELP,SEASHELLS,2046.0,1
644,41300,Charlie,Pablo,KELP,SEASHELLS,2046.0,4
656,42800,Charlie,Paris,KELP,SEASHELLS,2046.0,1
661,43200,Paris,Pablo,KELP,SEASHELLS,2046.0,1
662,43200,Charlie,Pablo,KELP,SEASHELLS,2046.0,2
671,43700,Charlie,Caesar,KELP,SEASHELLS,2047.0,5
686,44900,Paris,Camilla,KELP,SEASHELLS,2048.0,1
689,45000,Charlie,Paris,KELP,SEASHELLS,2046.0,1
700,45600,Caesar,Paris,KELP,SEASHELLS,2046.0,1
714,46500,Paris,Camilla,KELP,SEASHELLS,2048.0,1
720,47100,Camilla,Paris,KELP,SEASHELLS,2046.0,1
723,47200,Charlie,Gina,KELP,SEASHELLS,2046.0,8
725,47400,Charlie,Paris,KELP,SEASHELLS,2046.0,1
727,47500,Paris,Charlie,KELP,SEASHELLS,2049.0,1
756,48400,Charlie,Paris,KELP,SEASHELLS,2046.0,1
763,49000,Charlie,Paris,KELP,SEASHELLS,2046.0,2
765,49100,Camilla,Paris,KELP,SEASHELLS,2046.0,1
772,49300,Caesar,Paris,KELP,SEASHELLS,2046.0,1
776,49400,Paris,Charlie,KELP,SEASHELLS,2048.0,1
798,50400,Charlie,Paris,KELP,SEASHELLS,2045.0,1
801,50500,Charlie,Paris,KELP,SEASHELLS,2045.0,1
803,50600,Paris,Charlie,KELP,SEASHELLS,2049.0,2
804,50600,Paris,Charlie,KELP,SEASHELLS,2048.0,1
