,timestamp,buyer,seller,symbol,currency,price,quantity
20,1300,Pablo,Camilla,PICNIC_BASKET2,SEASHELLS,30114.0,6
78,5700,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30091.0,2
123,8900,Pablo,Camilla,PICNIC_BASKET2,SEASHELLS,30105.0,3
126,9100,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30099.0,9
185,13200,Caesar,Penelope,PICNIC_BASKET2,SEASHELLS,30098.0,1
233,16200,Camilla,Caesar,PICNIC_BASKET2,SEASHELLS,30104.0,1
312,21000,Penelope,Caesar,PICNIC_BASKET2,SEASHELLS,30104.0,2
375,23900,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30091.0,6
393,25100,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30101.0,6
395,25400,Caesar,Penelope,PICNIC_BASKET2,SEASHELLS,30094.0,2
407,26400,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30090.0,7
516,32400,Caesar,Penelope,PICNIC_BASKET2,SEASHELLS,30097.0,1
535,33600,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30101.0,7
590,37000,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30094.0,9
593,37300,Penelope,Charlie,PICNIC_BASKET2,SEASHELLS,30096.0,10
617,39300,Penelope,Caesar,PICNIC_BASKET2,SEASHELLS,30104.0,5
646,41400,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30117.0,6
682,44800,Caesar,Pablo,PICNIC_BASKET2,SEASHELLS,30114.0,1
683,44800,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30114.0,1
692,45200,Penelope,Charlie,PICNIC_BASKET2,SEASHELLS,30116.0,7
743,48300,Penelope,Caesar,PICNIC_BASKET2,SEASHELLS,30114.0,2
796,50200,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30102.0,5
837,52500,Caesar,Pablo,PICNIC_BASKET2,SEASHELLS,30115.0,2
838,52500,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30114.0,2
897,56300,Caesar,Penelope,PICNIC_BASKET2,SEASHELLS,30108.0,2
929,57100,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30102.0,6
961,58400,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30101.0,5
966,58600,Caesar,Penelope,PICNIC_BASKET2,SEASHELLS,30097.0,1
980,59100,Pablo,Caesar,PICNIC_BASKET2,SEASHELLS,30102.0,2
984,59200,Penelope,Caesar,PICNIC_BASKET2,SEASHELLS,30104.0,2
994,59800,Penelope,Charlie,PICNIC_BASKET2,SEASHELLS,30106.0,6
1001,60000,Pablo,Caesar,PICNIC_BASKET2,SEASHELLS,30100.0,8
1010,60300,Penelope,Caesar,PICNIC_BASKET2,SEASHELLS,30103.0,2
1113,66400,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30063.0,5
1135,67400,Caesar,Pablo,PICNIC_BASKET2,SEASHELLS,30071.0,2
1150,68100,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30070.0,6
1171,69500,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30061.0,5
1184,70300,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30078.0,8
1220,72700,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30085.0,8
1234,73500,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30091.0,6
1238,73700,Penelope,Charlie,PICNIC_BASKET2,SEASHELLS,30105.0,8
1258,74500,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30095.0,7
1259,74500,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30095.0,8
1260,74500,Caesar,Penelope,PICNIC_BASKET2,SEASHELLS,30095.0,2
1398,82500,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30073.0,7
1425,84100,Pablo,Caesar,PICNIC_BASKET2,SEASHELLS,30070.0,2
1426,84100,Pablo,Camilla,PICNIC_BASKET2,SEASHELLS,30070.0,3
1437,84800,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30075.0,8
1471,86700,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30068.0,2
1491,87700,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30084.0,9
1499,88000,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30080.0,6
1531,89900,Penelope,Charlie,PICNIC_BASKET2,SEASHELLS,30113.0,10
1549,90700,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30103.0,8
1575,91300,Penelope,Caesar,PICNIC_BASKET2,SEASHELLS,30106.0,1
1585,91800,Caesar,Pablo,PICNIC_BASKET2,SEASHELLS,30102.0,2
1586,91800,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30101.0,1
1593,92100,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30106.0,8
1617,93500,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30120.0,8
1651,95500,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30101.0,5
1676,97500,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30086.0,5
1679,97600,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30090.0,4
1683,97900,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30102.0,9
1693,98300,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30105.0,2
1694,98300,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30105.0,10
1848,107400,Camilla,Caesar,PICNIC_BASKET2,SEASHELLS,30113.0,2
1859,108400,Camilla,Caesar,PICNIC_BASKET2,SEASHELLS,30125.0,2
1877,109200,Penelope,Charlie,PICNIC_BASKET2,SEASHELLS,30122.0,7
1888,109600,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30112.0,3
1893,109900,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30120.0,5
1898,110400,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30112.0,6
1920,111700,Caesar,Penelope,PICNIC_BASKET2,SEASHELLS,30100.0,1
1923,111800,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30097.0,5
1990,115100,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30136.0,2
2032,117400,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30145.0,3
2033,117400,Penelope,Charlie,PICNIC_BASKET2,SEASHELLS,30151.0,10
2047,118600,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30164.0,9
2125,125000,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30156.0,10
2143,126000,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30159.0,9
2244,131100,Caesar,Pablo,PICNIC_BASKET2,SEASHELLS,30131.0,2
2289,133300,Penelope,Camilla,PICNIC_BASKET2,SEASHELLS,30150.0,8
2304,134300,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30140.0,10
2349,136900,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30125.0,8
2352,137000,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30120.0,6
2366,138000,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30125.0,7
2370,138100,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30127.0,3
2419,141200,Caesar,Pablo,PICNIC_BASKET2,SEASHELLS,30124.0,1
2420,141200,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30123.0,4
2441,142800,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30124.0,2
2499,145700,Caesar,Pablo,PICNIC_BASKET2,SEASHELLS,30097.0,1
2500,145700,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30096.0,1
2538,147500,Penelope,Caesar,PICNIC_BASKET2,SEASHELLS,30094.0,2
2549,148200,Penelope,Caesar,PICNIC_BASKET2,SEASHELLS,30089.0,1
2563,149700,Camilla,Caesar,PICNIC_BASKET2,SEASHELLS,30063.0,1
2570,150300,Penelope,Caesar,PICNIC_BASKET2,SEASHELLS,30076.0,2
2611,153600,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30059.0,4
2642,154900,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30064.0,3
2699,157300,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30071.0,8
2725,159100,Caesar,Pablo,PICNIC_BASKET2,SEASHELLS,30080.0,2
2746,160400,Camilla,Caesar,PICNIC_BASKET2,SEASHELLS,30098.0,2
2772,162100,Caesar,Pablo,PICNIC_BASKET2,SEASHELLS,30106.0,1
2773,162100,Charlie,Pablo,PICNIC_BASKET2,SEASHELLS,30105.0,4
2805,163300,Caesar,Penelope,PICNIC_BASKET2,SEASHELLS,30122.0,1
2866,167400,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30117.0,6
2904,169400,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30119.0,10
2944,172300,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30130.0,10
2957,172600,Caesar,Penelope,PICNIC_BASKET2,SEASHELLS,30134.0,1
3010,175200,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30143.0,10
3015,175300,Pablo,Caesar,PICNIC_BASKET2,SEASHELLS,30149.0,2
3033,176500,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30152.0,6
3037,176800,Pablo,Caesar,PICNIC_BASKET2,SEASHELLS,30151.0,4
3095,179900,Charlie,Penelope,PICNIC_BASKET2,SEASHELLS,30132.0,10
3104,180300,Pablo,Camilla,PICNIC_BASKET2,SEASHELLS,30140.0,6
3128,181400,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30131.0,9
3134,182100,Camilla,Penelope,PICNIC_BASKET2,SEASHELLS,30128.0,7
3178,184000,Camilla,Caesar,PICNIC_BASKET2,SEASHELLS,30122.0,1
3200,184900,Caesar,Penelope,PICNIC_BASKET2,SEASHELLS,30115.0,1
