,timestamp,buyer,seller,symbol,currency,price,quantity
1,100,Charlie,Paris,RAINFOREST_RESIN,SEASHELLS,9999.0,1
11,700,Charlie,Gina,RAINFOREST_RESIN,SEASHELLS,9997.0,9
13,900,Charlie,Pablo,RAINFOREST_RESIN,SEASHELLS,9998.0,4
21,1300,Paris,Camilla,RAINFOREST_RESIN,SEASHELLS,10003.0,1
29,2100,Penelope,Charlie,RAINFOREST_RESIN,SEASHELLS,10008.0,4
56,4500,Charlie,Pablo,RAINFOREST_RESIN,SEASHELLS,9998.0,3
62,4800,Charlie,Gary,RAINFOREST_RESIN,SEASHELLS,9992.0,7
70,5100,Paris,Camilla,RAINFOREST_RESIN,SEASHELLS,10003.0,2
71,5300,Charlie,Penelope,RAINFOREST_RESIN,SEASHELLS,9992.0,7
92,6300,Paris,Charlie,RAINFOREST_RESIN,SEASHELLS,10001.0,1
94,6400,Paris,Pablo,RAINFOREST_RESIN,SEASHELLS,10001.0,1
95,6600,Charlie,Paris,RAINFOREST_RESIN,SEASHELLS,9999.0,1
97,6800,Penelope,Charlie,RAINFOREST_RESIN,SEASHELLS,10008.0,4
105,7300,Paris,Penelope,RAINFOREST_RESIN,SEASHELLS,10001.0,1
124,9000,Penelope,Camilla,RAINFOREST_RESIN,SEASHELLS,10003.0,8
129,9300,Charlie,Pablo,RAINFOREST_RESIN,SEASHELLS,9992.0,5
151,10300,Charlie,Pablo,RAINFOREST_RESIN,SEASHELLS,9998.0,5
161,11300,Pablo,Charlie,RAINFOREST_RESIN,SEASHELLS,10008.0,5
188,13500,Pablo,Charlie,RAINFOREST_RESIN,SEASHELLS,10008.0,4
192,13800,Charlie,Paris,RAINFOREST_RESIN,SEASHELLS,9999.0,1
198,14000,Paris,Charlie,RAINFOREST_RESIN,SEASHELLS,10008.0,2
226,15300,Caesar,Paris,RAINFOREST_RESIN,SEASHELLS,9999.0,1
235,16300,Charlie,Paris,RAINFOREST_RESIN,SEASHELLS,9992.0,1
239,16400,Paris,Caesar,RAINFOREST_RESIN,SEASHELLS,10001.0,1
242,16600,Paris,Paris,RAINFOREST_RESIN,SEASHELLS,10001.0,1
245,16700,Charlie,Paris,RAINFOREST_RESIN,SEASHELLS,9992.0,1
248,17300,Paris,Charlie,RAINFOREST_RESIN,SEASHELLS,10008.0,2
264,18200,Paris,Paris,RAINFOREST_RESIN,SEASHELLS,10001.0,1
265,18500,Charlie,Penelope,RAINFOREST_RESIN,SEASHELLS,9992.0,6
279,19300,Penelope,Charlie,RAINFOREST_RESIN,SEASHELLS,10008.0,5
281,19400,Paris,Charlie,RAINFOREST_RESIN,SEASHELLS,10001.0,1
