,timestamp,buyer,seller,symbol,currency,price,quantity
5,200,Paris,Charlie,SQUID_INK,SEASHELLS,1803.0,1
7,300,Charlie,Paris,SQUID_INK,SEASHELLS,1801.0,1
9,500,Paris,Charlie,SQUID_INK,SEASHELLS,1804.0,2
14,900,Charlie,Gary,SQUID_INK,SEASHELLS,1803.0,8
18,1200,Camilla,Paris,SQUID_INK,SEASHELLS,1804.0,1
24,1500,Charlie,Paris,SQUID_INK,SEASHELLS,1804.0,1
28,2000,Charlie,Camilla,SQUID_INK,SEASHELLS,1806.0,1
36,3200,Paris,Camilla,SQUID_INK,SEASHELLS,1807.0,2
37,3500,Charlie,Camilla,SQUID_INK,SEASHELLS,1807.0,1
49,3700,Charlie,Pablo,SQUID_INK,SEASHELLS,1807.0,5
59,4600,Paris,Charlie,SQUID_INK,SEASHELLS,1804.0,1
61,4700,Penelope,Charlie,SQUID_INK,SEASHELLS,1805.0,4
68,4900,Paris,Charlie,SQUID_INK,SEASHELLS,1806.0,2
79,5700,Gary,Charlie,SQUID_INK,SEASHELLS,1808.0,14
81,5800,Gary,Charlie,SQUID_INK,SEASHELLS,1808.0,14
84,5900,Gary,Charlie,SQUID_INK,SEASHELLS,1809.0,12
85,5900,Pablo,Paris,SQUID_INK,SEASHELLS,1807.0,1
89,6100,Gary,Pablo,SQUID_INK,SEASHELLS,1806.0,5
107,7400,Charlie,Paris,SQUID_INK,SEASHELLS,1807.0,1
115,7800,Paris,Charlie,SQUID_INK,SEASHELLS,1810.0,1
133,9400,Charlie,Paris,SQUID_INK,SEASHELLS,1809.0,1
140,9600,Paris,Paris,SQUID_INK,SEASHELLS,1809.0,1
146,9900,Paris,Caesar,SQUID_INK,SEASHELLS,1807.0,1
147,9900,Charlie,Caesar,SQUID_INK,SEASHELLS,1806.0,5
154,10500,Camilla,Paris,SQUID_INK,SEASHELLS,1803.0,2
156,10600,Paris,Camilla,SQUID_INK,SEASHELLS,1803.0,1
157,10600,Caesar,Camilla,SQUID_INK,SEASHELLS,1803.0,4
163,11700,Charlie,Caesar,SQUID_INK,SEASHELLS,1800.0,3
168,12100,Paris,Camilla,SQUID_INK,SEASHELLS,1804.0,1
170,12200,Camilla,Paris,SQUID_INK,SEASHELLS,1802.0,1
172,12300,Charlie,Pablo,SQUID_INK,SEASHELLS,1802.0,3
174,12400,Charlie,Paris,SQUID_INK,SEASHELLS,1801.0,1
182,12900,Penelope,Charlie,SQUID_INK,SEASHELLS,1804.0,6
191,13700,Pablo,Camilla,SQUID_INK,SEASHELLS,1807.0,3
195,13900,Charlie,Paris,SQUID_INK,SEASHELLS,1805.0,1
196,13900,Penelope,Camilla,SQUID_INK,SEASHELLS,1807.0,3
199,14000,Charlie,Penelope,SQUID_INK,SEASHELLS,1804.0,15
206,14500,Caesar,Pablo,SQUID_INK,SEASHELLS,1806.0,1
207,14500,Charlie,Pablo,SQUID_INK,SEASHELLS,1806.0,4
210,14700,Paris,Charlie,SQUID_INK,SEASHELLS,1807.0,1
224,15200,Camilla,Pablo,SQUID_INK,SEASHELLS,1803.0,2
225,15200,Charlie,Pablo,SQUID_INK,SEASHELLS,1803.0,1
228,15500,Camilla,Paris,SQUID_INK,SEASHELLS,1804.0,1
231,16100,Camilla,Paris,SQUID_INK,SEASHELLS,1805.0,1
236,16300,Paris,Camilla,SQUID_INK,SEASHELLS,1806.0,1
240,16400,Gary,Charlie,SQUID_INK,SEASHELLS,1806.0,9
246,16700,Paris,Caesar,SQUID_INK,SEASHELLS,1807.0,2
256,17900,Paris,Charlie,SQUID_INK,SEASHELLS,1804.0,1
263,18000,Paris,Paris,SQUID_INK,SEASHELLS,1805.0,1
267,18600,Charlie,Paris,SQUID_INK,SEASHELLS,1795.0,1
272,19000,Paris,Camilla,SQUID_INK,SEASHELLS,1799.0,1
275,19100,Charlie,Pablo,SQUID_INK,SEASHELLS,1796.0,2
277,19200,Paris,Camilla,SQUID_INK,SEASHELLS,1797.0,1
280,19300,Gary,Charlie,SQUID_INK,SEASHELLS,1799.0,10
282,19400,Charlie,Paris,SQUID_INK,SEASHELLS,1796.0,1
290,19500,Charlie,Paris,SQUID_INK,SEASHELLS,1792.0,2
295,19700,Charlie,Paris,SQUID_INK,SEASHELLS,1795.0,1
296,19700,Charlie,Penelope,SQUID_INK,SEASHELLS,1795.0,15
301,20000,Paris,Camilla,SQUID_INK,SEASHELLS,1796.0,1
303,20100,Paris,Charlie,SQUID_INK,SEASHELLS,1796.0,2
307,20300,Charlie,Paris,SQUID_INK,SEASHELLS,1793.0,1
321,21300,Paris,Charlie,SQUID_INK,SEASHELLS,1800.0,1
335,21700,Paris,Camilla,SQUID_INK,SEASHELLS,1798.0,1
340,21900,Charlie,Gary,SQUID_INK,SEASHELLS,1796.0,13
342,22000,Charlie,Pablo,SQUID_INK,SEASHELLS,1796.0,3
351,22600,Gina,Camilla,SQUID_INK,SEASHELLS,1794.0,2
354,22700,Charlie,Gary,SQUID_INK,SEASHELLS,1791.0,11
373,23700,Paris,Charlie,SQUID_INK,SEASHELLS,1795.0,1
389,24400,Charlie,Paris,SQUID_INK,SEASHELLS,1787.0,1
402,25800,Charlie,Penelope,SQUID_INK,SEASHELLS,1790.0,8
404,26100,Charlie,Paris,SQUID_INK,SEASHELLS,1791.0,1
414,26700,Charlie,Pablo,SQUID_INK,SEASHELLS,1793.0,4
417,26800,Paris,Charlie,SQUID_INK,SEASHELLS,1796.0,1
420,27100,Paris,Camilla,SQUID_INK,SEASHELLS,1790.0,1
429,27600,Penelope,Charlie,SQUID_INK,SEASHELLS,1787.0,10
440,28200,Paris,Charlie,SQUID_INK,SEASHELLS,1789.0,1
444,28600,Camilla,Gina,SQUID_INK,SEASHELLS,1783.0,1
445,28600,Charlie,Gina,SQUID_INK,SEASHELLS,1783.0,6
448,28800,Charlie,Paris,SQUID_INK,SEASHELLS,1784.0,2
455,29500,Penelope,Charlie,SQUID_INK,SEASHELLS,1787.0,4
463,29800,Camilla,Paris,SQUID_INK,SEASHELLS,1782.0,1
465,29900,Caesar,Pablo,SQUID_INK,SEASHELLS,1784.0,2
468,30000,Caesar,Camilla,SQUID_INK,SEASHELLS,1783.0,2
471,30100,Charlie,Pablo,SQUID_INK,SEASHELLS,1784.0,3
474,30300,Paris,Camilla,SQUID_INK,SEASHELLS,1781.0,1
493,31300,Paris,Charlie,SQUID_INK,SEASHELLS,1776.0,1
498,31700,Paris,Camilla,SQUID_INK,SEASHELLS,1776.0,1
510,32000,Charlie,Pablo,SQUID_INK,SEASHELLS,1777.0,4
512,32200,Charlie,Caesar,SQUID_INK,SEASHELLS,1780.0,4
525,32900,Charlie,Paris,SQUID_INK,SEASHELLS,1781.0,1
527,33100,Charlie,Paris,SQUID_INK,SEASHELLS,1782.0,1
530,33200,Charlie,Camilla,SQUID_INK,SEASHELLS,1784.0,1
536,33600,Paris,Charlie,SQUID_INK,SEASHELLS,1789.0,1
540,34500,Charlie,Camilla,SQUID_INK,SEASHELLS,1788.0,4
548,34800,Pablo,Penelope,SQUID_INK,SEASHELLS,1790.0,3
557,35200,Charlie,Paris,SQUID_INK,SEASHELLS,1791.0,1
587,36900,Caesar,Paris,SQUID_INK,SEASHELLS,1791.0,1
597,37700,Paris,Charlie,SQUID_INK,SEASHELLS,1790.0,1
600,37800,Charlie,Paris,SQUID_INK,SEASHELLS,1789.0,2
603,37900,Charlie,Pablo,SQUID_INK,SEASHELLS,1789.0,4
611,38300,Charlie,Gary,SQUID_INK,SEASHELLS,1786.0,8
613,38400,Charlie,Gary,SQUID_INK,SEASHELLS,1788.0,8
633,40400,Charlie,Gina,SQUID_INK,SEASHELLS,1787.0,8
638,41200,Charlie,Paris,SQUID_INK,SEASHELLS,1788.0,1
654,42300,Pablo,Charlie,SQUID_INK,SEASHELLS,1793.0,3
657,42800,Charlie,Paris,SQUID_INK,SEASHELLS,1791.0,1
664,43200,Paris,Pablo,SQUID_INK,SEASHELLS,1792.0,1
673,43700,Charlie,Caesar,SQUID_INK,SEASHELLS,1794.0,5
684,44800,Charlie,Camilla,SQUID_INK,SEASHELLS,1791.0,4
687,44900,Paris,Camilla,SQUID_INK,SEASHELLS,1791.0,1
690,45000,Caesar,Paris,SQUID_INK,SEASHELLS,1789.0,1
701,45600,Charlie,Paris,SQUID_INK,SEASHELLS,1786.0,1
715,46500,Paris,Camilla,SQUID_INK,SEASHELLS,1787.0,1
718,47000,Caesar,Camilla,SQUID_INK,SEASHELLS,1787.0,3
721,47100,Camilla,Paris,SQUID_INK,SEASHELLS,1785.0,1
724,47200,Charlie,Gina,SQUID_INK,SEASHELLS,1786.0,8
726,47400,Charlie,Paris,SQUID_INK,SEASHELLS,1786.0,1
728,47500,Paris,Charlie,SQUID_INK,SEASHELLS,1789.0,1
758,48400,Charlie,Paris,SQUID_INK,SEASHELLS,1782.0,1
764,49000,Charlie,Paris,SQUID_INK,SEASHELLS,1776.0,2
766,49100,Camilla,Paris,SQUID_INK,SEASHELLS,1778.0,1
773,49300,Caesar,Paris,SQUID_INK,SEASHELLS,1779.0,1
777,49400,Paris,Charlie,SQUID_INK,SEASHELLS,1782.0,1
799,50400,Charlie,Paris,SQUID_INK,SEASHELLS,1783.0,1
802,50500,Charlie,Paris,SQUID_INK,SEASHELLS,1783.0,1
805,50600,Paris,Charlie,SQUID_INK,SEASHELLS,1786.0,2
806,50600,Paris,Charlie,SQUID_INK,SEASHELLS,1785.0,1
816,50900,Charlie,Paris,SQUID_INK,SEASHELLS,1784.0,1
818,51100,Charlie,Penelope,SQUID_INK,SEASHELLS,1783.0,15
820,51200,Charlie,Paris,SQUID_INK,SEASHELLS,1782.0,2
823,51500,Gary,Caesar,SQUID_INK,SEASHELLS,1782.0,3
825,51600,Charlie,Paris,SQUID_INK,SEASHELLS,1781.0,1
828,52000,Pablo,Charlie,SQUID_INK,SEASHELLS,1784.0,3
853,53000,Paris,Paris,SQUID_INK,SEASHELLS,1787.0,1
862,53600,Paris,Charlie,SQUID_INK,SEASHELLS,1790.0,1
866,53900,Paris,Charlie,SQUID_INK,SEASHELLS,1791.0,1
868,54100,Charlie,Paris,SQUID_INK,SEASHELLS,1788.0,1
887,55900,Charlie,Paris,SQUID_INK,SEASHELLS,1790.0,1
889,56000,Paris,Charlie,SQUID_INK,SEASHELLS,1794.0,1
894,56100,Penelope,Paris,SQUID_INK,SEASHELLS,1791.0,1
899,56300,Charlie,Penelope,SQUID_INK,SEASHELLS,1789.0,8
916,56800,Charlie,Paris,SQUID_INK,SEASHELLS,1791.0,2
939,57500,Penelope,Camilla,SQUID_INK,SEASHELLS,1794.0,1
940,57500,Penelope,Charlie,SQUID_INK,SEASHELLS,1794.0,4
944,57600,Charlie,Paris,SQUID_INK,SEASHELLS,1792.0,1
945,57600,Paris,Charlie,SQUID_INK,SEASHELLS,1795.0,1
947,57800,Paris,Charlie,SQUID_INK,SEASHELLS,1795.0,1
950,57900,Gina,Paris,SQUID_INK,SEASHELLS,1793.0,1
957,58300,Charlie,Paris,SQUID_INK,SEASHELLS,1791.0,1
962,58400,Paris,Pablo,SQUID_INK,SEASHELLS,1791.0,1
963,58400,Paris,Pablo,SQUID_INK,SEASHELLS,1791.0,1
976,58900,Paris,Charlie,SQUID_INK,SEASHELLS,1790.0,2
981,59100,Charlie,Paris,SQUID_INK,SEASHELLS,1787.0,2
990,59700,Paris,Caesar,SQUID_INK,SEASHELLS,1786.0,1
995,59800,Charlie,Gina,SQUID_INK,SEASHELLS,1785.0,10
998,59900,Camilla,Paris,SQUID_INK,SEASHELLS,1785.0,1
1002,60000,Camilla,Paris,SQUID_INK,SEASHELLS,1786.0,1
1005,60100,Caesar,Paris,SQUID_INK,SEASHELLS,1784.0,1
1019,61200,Paris,Charlie,SQUID_INK,SEASHELLS,1782.0,1
1022,61400,Charlie,Paris,SQUID_INK,SEASHELLS,1780.0,1
1026,61600,Penelope,Charlie,SQUID_INK,SEASHELLS,1783.0,10
1030,62200,Camilla,Paris,SQUID_INK,SEASHELLS,1780.0,1
1033,62300,Caesar,Paris,SQUID_INK,SEASHELLS,1779.0,1
1035,62500,Charlie,Paris,SQUID_INK,SEASHELLS,1778.0,1
1038,62600,Paris,Charlie,SQUID_INK,SEASHELLS,1779.0,1
1041,62700,Paris,Camilla,SQUID_INK,SEASHELLS,1778.0,1
1042,62700,Penelope,Camilla,SQUID_INK,SEASHELLS,1778.0,7
1046,63200,Paris,Caesar,SQUID_INK,SEASHELLS,1778.0,1
1048,63400,Paris,Camilla,SQUID_INK,SEASHELLS,1775.0,1
1058,63800,Paris,Charlie,SQUID_INK,SEASHELLS,1776.0,1
1064,64200,Caesar,Paris,SQUID_INK,SEASHELLS,1776.0,1
1070,64600,Charlie,Paris,SQUID_INK,SEASHELLS,1776.0,1
1074,64800,Charlie,Caesar,SQUID_INK,SEASHELLS,1776.0,2
1076,65000,Paris,Camilla,SQUID_INK,SEASHELLS,1773.0,2
1079,65100,Camilla,Paris,SQUID_INK,SEASHELLS,1773.0,1
1091,65400,Charlie,Paris,SQUID_INK,SEASHELLS,1775.0,1
1095,65500,Gina,Camilla,SQUID_INK,SEASHELLS,1776.0,4
1096,65500,Gina,Gary,SQUID_INK,SEASHELLS,1776.0,4
1100,65700,Charlie,Paris,SQUID_INK,SEASHELLS,1774.0,1
1103,66000,Paris,Charlie,SQUID_INK,SEASHELLS,1778.0,2
1105,66300,Charlie,Paris,SQUID_INK,SEASHELLS,1771.0,1
1115,66500,Caesar,Paris,SQUID_INK,SEASHELLS,1773.0,1
1117,66700,Camilla,Paris,SQUID_INK,SEASHELLS,1775.0,1
1119,66900,Gina,Penelope,SQUID_INK,SEASHELLS,1780.0,8
