,timestamp,buyer,seller,symbol,currency,price,quantity
50,3900,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10217.0,10
73,5400,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10220.0,7
90,6100,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10223.0,10
127,9200,Pablo,Caesar,VOLCANIC_ROCK,SEASHELLS,10227.0,1
130,9300,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10226.0,10
142,9800,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10222.0,8
152,10400,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10219.0,10
158,10600,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10215.0,10
160,11200,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10214.0,8
164,11700,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10207.0,7
187,13400,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10200.0,10
214,15000,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10197.0,6
308,20300,Caesar,Pablo,VOLCANIC_ROCK,SEASHELLS,10200.0,2
345,22200,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10211.0,5
371,23600,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10207.0,6
403,25800,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10193.0,6
438,28000,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10196.0,7
452,29300,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10187.0,5
466,29900,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10189.0,8
472,30200,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10188.0,8
523,32800,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10186.0,8
562,35400,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10192.0,7
573,36000,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10191.0,9
622,39700,Caesar,Pablo,VOLCANIC_ROCK,SEASHELLS,10203.0,2
649,41600,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10192.0,7
653,42200,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10196.0,8
666,43500,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10183.0,7
685,44800,Pablo,Caesar,VOLCANIC_ROCK,SEASHELLS,10190.0,3
729,47500,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10181.0,10
745,48300,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10177.0,8
761,48800,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10169.0,7
774,49300,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10173.0,5
780,49600,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10173.0,7
783,50000,Caesar,Pablo,VOLCANIC_ROCK,SEASHELLS,10170.0,3
797,50300,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10166.0,7
814,50800,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10168.0,8
871,54400,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10161.0,5
936,57300,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10161.0,7
985,59200,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10160.0,5
987,59500,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10159.0,6
1014,61000,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10174.0,6
1059,63900,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10185.0,8
1071,64700,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10189.0,6
1101,65700,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10191.0,10
1136,67500,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10180.0,9
1212,72400,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10185.0,5
1255,74400,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10188.0,10
1262,74700,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10188.0,5
1277,75500,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10186.0,5
1306,77000,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10183.0,6
1337,79400,Peter,Caesar,VOLCANIC_ROCK,SEASHELLS,10181.0,7
1340,79800,Caesar,Pablo,VOLCANIC_ROCK,SEASHELLS,10178.0,1
1362,80700,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10186.0,8
1395,82300,Caesar,Pablo,VOLCANIC_ROCK,SEASHELLS,10185.0,3
1455,85500,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10183.0,5
