,timestamp,buyer,seller,symbol,currency,price,quantity
38,3500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,234.0,14
39,3500,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,234.0,2
51,4200,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,227.0,7
63,4800,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,232.0,15
99,7000,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,241.0,15
109,7600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,238.0,13
134,9400,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,234.0,10
175,12500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,215.0,18
215,15000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,212.0,17
249,17300,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,215.0,9
257,17900,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,216.0,14
283,19400,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,219.0,17
313,21000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,217.0,12
322,21300,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,221.0,14
327,21400,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,218.0,17
355,22800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,222.0,17
356,22800,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,222.0,1
379,24100,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,217.0,15
408,26400,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,214.0,10
421,27100,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,218.0,11
431,27800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,216.0,15
456,29500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,205.0,11
477,30700,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,202.0,12
488,31200,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,11
499,31800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,200.0,16
500,31800,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,200.0,1
520,32600,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,202.0,17
549,34800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,208.0,10
564,35600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,209.0,14
576,36800,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,210.0,12
577,36800,Caesar,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,210.0,2
605,38100,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,213.0,13
629,40300,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,213.0,10
639,41200,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,211.0,11
667,43600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,12
694,45300,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,205.0,12
702,45700,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,204.0,14
708,46100,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,206.0,10
731,47600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,200.0,12
746,48300,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,198.0,10
747,48300,Caesar,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,198.0,2
767,49100,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,195.0,11
784,50100,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,191.0,12
785,50100,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,191.0,2
808,50700,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,190.0,11
840,52700,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,185.0,10
841,52700,Caesar,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,185.0,2
856,53400,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,185.0,11
900,56500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,181.0,15
901,56500,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,181.0,2
910,56600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,180.0,16
918,57000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,184.0,19
919,57000,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,184.0,1
932,57100,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,182.0,16
952,58200,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,177.0,19
968,58700,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,177.0,10
1050,63600,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,202.0,12
1051,63600,Caesar,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,202.0,1
1106,66300,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,205.0,13
1121,67200,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,11
1122,67200,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,1
1165,69300,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,209.0,15
1173,69600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,206.0,20
1192,71700,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,206.0,11
1193,71700,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,206.0,1
1226,73000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,202.0,12
1265,74900,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,14
1287,76000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,200.0,16
1288,76000,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,200.0,1
1323,78500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,198.0,14
1345,80000,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,198.0,15
1352,80200,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,196.0,12
1377,81700,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,11
1378,81700,Penelope,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,1
1415,83800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,204.0,11
1439,85100,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,5
1448,85400,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,197.0,9
1511,88700,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,197.0,12
1532,89900,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,205.0,14
1538,90400,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,194.0,10
1551,90700,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,194.0,12
1552,90700,Penelope,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,194.0,2
1589,92000,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,198.0,15
1596,92400,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,204.0,11
1607,92900,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,204.0,16
1626,94000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,15
1627,94000,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,2
1655,95900,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,195.0,15
1727,101300,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,17
1738,102000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,179.0,13
1746,102100,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,174.0,8
1760,102600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,175.0,19
1781,104000,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,177.0,5
1786,104200,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,16
1787,104200,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,2
1821,105900,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,179.0,16
1841,107000,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,172.0,10
1860,108400,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,165.0,16
1905,111000,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,14
1925,112000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,181.0,14
1926,112000,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,181.0,2
1943,113600,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,178.0,12
1944,113600,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,178.0,2
1952,113900,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,179.0,7
1968,114500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,11
1969,114500,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,2
2010,116400,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,19
2011,116400,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,1
2073,121000,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,174.0,16
2074,121000,Penelope,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,174.0,2
2087,121700,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,168.0,11
2161,127200,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,179.0,10
2194,128900,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,12
2202,129100,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,15
2227,130400,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,12
2235,130500,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,175.0,13
2254,131900,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,175.0,11
2259,132000,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,174.0,5
2279,133200,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,13
2280,133200,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,176.0,1
2293,134200,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,189.0,13
2294,134200,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,189.0,2
2319,135000,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,186.0,11
2340,136700,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,180.0,17
2383,139700,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,189.0,12
2384,139700,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,189.0,1
2396,140100,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,188.0,10
2446,143100,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,198.0,12
2453,143600,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,5
2463,143900,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,195.0,11
2474,144400,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,192.0,14
2482,144800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,191.0,13
2501,145800,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,15
2502,145800,Penelope,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,1
2510,145900,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,195.0,12
2511,145900,Caesar,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,195.0,2
2521,146100,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,196.0,10
2579,151400,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,10
2580,151400,Penelope,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,1
2599,152800,Camilla,Penelope,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,196.0,16
2616,153900,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,200.0,12
2635,154800,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,9
2647,155200,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,13
2652,155300,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,201.0,12
2661,156000,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,203.0,19
2670,156200,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,202.0,6
2682,156500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,11
2692,156900,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,199.0,19
2762,161800,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,213.0,16
2778,162300,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,218.0,11
2779,162300,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,218.0,2
