Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Caesar, seller: Camilla, eval: spreadcrossing -> PNL: -194683.5, buy_qty: 0, sell_qty: 1499
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Caesar, seller: Camilla, eval: spreadcrossing -> PNL: -137665.0, buy_qty: 0, sell_qty: 1544
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Caesar, seller: Camilla, eval: midpoint -> PNL: -49818.5, buy_qty: 0, sell_qty: 1499
Product: PICNIC_BASKET2, buyer: Pablo, seller: Charlie, eval: spreadcrossing -> PNL: -45334.5, buy_qty: 0, sell_qty: 157
Product: PICNIC_BASKET2, buyer: Pablo, seller: Charlie, eval: midpoint -> PNL: -44914.0, buy_qty: 0, sell_qty: 157
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Caesar, seller: Camilla, eval: midpoint -> PNL: -44124.5, buy_qty: 0, sell_qty: 1544
Product: VOLCANIC_ROCK_VOUCHER_10000, buyer: Caesar, seller: Camilla, eval: spreadcrossing -> PNL: -36101.0, buy_qty: 0, sell_qty: 1562
Product: SQUID_INK, buyer: Paris, seller: Charlie, eval: spreadcrossing -> PNL: -31231.5, buy_qty: 1520, sell_qty: 2291
Product: PICNIC_BASKET2, buyer: Caesar, seller: Camilla, eval: spreadcrossing -> PNL: -28130.5, buy_qty: 0, sell_qty: 105
Product: PICNIC_BASKET2, buyer: Caesar, seller: Camilla, eval: midpoint -> PNL: -27913.5, buy_qty: 0, sell_qty: 105
Product: PICNIC_BASKET2, buyer: Pablo, seller: Camilla, eval: spreadcrossing -> PNL: -27332.0, buy_qty: 121, sell_qty: 217
Product: PICNIC_BASKET2, buyer: Pablo, seller: Camilla, eval: midpoint -> PNL: -26549.5, buy_qty: 121, sell_qty: 217
Product: SQUID_INK, buyer: Paris, seller: Charlie, eval: midpoint -> PNL: -26455.5, buy_qty: 1520, sell_qty: 2291
Product: DJEMBES, buyer: Camilla, seller: Caesar, eval: spreadcrossing -> PNL: -25095.0, buy_qty: 0, sell_qty: 328
Product: DJEMBES, buyer: Camilla, seller: Caesar, eval: midpoint -> PNL: -24897.0, buy_qty: 0, sell_qty: 328
Product: JAMS, buyer: Camilla, seller: Caesar, eval: spreadcrossing -> PNL: -24843.0, buy_qty: 0, sell_qty: 1016
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Pablo, seller: Camilla, eval: spreadcrossing -> PNL: -24364.0, buy_qty: 1, sell_qty: 389
Product: JAMS, buyer: Camilla, seller: Caesar, eval: midpoint -> PNL: -24041.5, buy_qty: 0, sell_qty: 1016
Product: VOLCANIC_ROCK_VOUCHER_10250, buyer: Camilla, seller: Caesar, eval: spreadcrossing -> PNL: -22037.0, buy_qty: 1450, sell_qty: 0
Product: VOLCANIC_ROCK_VOUCHER_10250, buyer: Camilla, seller: Caesar, eval: midpoint -> PNL: -21420.5, buy_qty: 1450, sell_qty: 0
Product: KELP, buyer: Charlie, seller: Paris, eval: spreadcrossing -> PNL: -20621.5, buy_qty: 2274, sell_qty: 1557
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Pablo, seller: Camilla, eval: spreadcrossing -> PNL: -17954.0, buy_qty: 4, sell_qty: 388
Product: MAGNIFICENT_MACARONS, buyer: Paris, seller: Caesar, eval: spreadcrossing -> PNL: -17450.5, buy_qty: 0, sell_qty: 367
Product: PICNIC_BASKET2, buyer: Pablo, seller: Caesar, eval: spreadcrossing -> PNL: -17139.0, buy_qty: 86, sell_qty: 146
Product: PICNIC_BASKET2, buyer: Pablo, seller: Caesar, eval: midpoint -> PNL: -16612.0, buy_qty: 86, sell_qty: 146
Product: MAGNIFICENT_MACARONS, buyer: Charlie, seller: Paris, eval: spreadcrossing -> PNL: -16490.5, buy_qty: 39, sell_qty: 360
Product: MAGNIFICENT_MACARONS, buyer: Paris, seller: Caesar, eval: midpoint -> PNL: -15951.0, buy_qty: 0, sell_qty: 367
Product: KELP, buyer: Charlie, seller: Paris, eval: midpoint -> PNL: -15591.5, buy_qty: 2274, sell_qty: 1557
Product: RAINFOREST_RESIN, buyer: Paris, seller: Charlie, eval: spreadcrossing -> PNL: -15123.0, buy_qty: 1069, sell_qty: 1045
Product: MAGNIFICENT_MACARONS, buyer: Charlie, seller: Paris, eval: midpoint -> PNL: -14875.5, buy_qty: 39, sell_qty: 360
Product: SQUID_INK, buyer: Pablo, seller: Charlie, eval: spreadcrossing -> PNL: -12171.5, buy_qty: 89, sell_qty: 476
Product: RAINFOREST_RESIN, buyer: Charlie, seller: Paris, eval: spreadcrossing -> PNL: -12154.0, buy_qty: 1045, sell_qty: 1069
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Pablo, seller: Camilla, eval: midpoint -> PNL: -11601.0, buy_qty: 1, sell_qty: 389
Product: SQUID_INK, buyer: Pablo, seller: Charlie, eval: midpoint -> PNL: -11500.0, buy_qty: 89, sell_qty: 476
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Pablo, seller: Camilla, eval: midpoint -> PNL: -10123.5, buy_qty: 4, sell_qty: 388
Product: KELP, buyer: Charlie, seller: Pablo, eval: spreadcrossing -> PNL: -8666.5, buy_qty: 466, sell_qty: 105
Product: PICNIC_BASKET1, buyer: Pablo, seller: Caesar, eval: spreadcrossing -> PNL: -8634.5, buy_qty: 152, sell_qty: 285
Product: KELP, buyer: Charlie, seller: Pablo, eval: midpoint -> PNL: -7969.0, buy_qty: 466, sell_qty: 105
Product: PICNIC_BASKET2, buyer: Charlie, seller: Penelope, eval: spreadcrossing -> PNL: -7622.0, buy_qty: 81, sell_qty: 103
Product: RAINFOREST_RESIN, buyer: Pablo, seller: Charlie, eval: spreadcrossing -> PNL: -7243.0, buy_qty: 501, sell_qty: 515
Product: PICNIC_BASKET1, buyer: Pablo, seller: Camilla, eval: spreadcrossing -> PNL: -7131.5, buy_qty: 160, sell_qty: 331
Product: PICNIC_BASKET2, buyer: Charlie, seller: Penelope, eval: midpoint -> PNL: -7115.0, buy_qty: 81, sell_qty: 103
Product: PICNIC_BASKET1, buyer: Pablo, seller: Caesar, eval: midpoint -> PNL: -6947.0, buy_qty: 152, sell_qty: 285
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Pablo, seller: Caesar, eval: spreadcrossing -> PNL: -6679.5, buy_qty: 6, sell_qty: 45
Product: DJEMBES, buyer: Caesar, seller: Paris, eval: spreadcrossing -> PNL: -6519.5, buy_qty: 1365, sell_qty: 1416
Product: VOLCANIC_ROCK_VOUCHER_10000, buyer: Camilla, seller: Caesar, eval: spreadcrossing -> PNL: -6184.0, buy_qty: 1562, sell_qty: 0
Product: PICNIC_BASKET2, buyer: Penelope, seller: Caesar, eval: spreadcrossing -> PNL: -6121.0, buy_qty: 126, sell_qty: 144
Product: RAINFOREST_RESIN, buyer: Penelope, seller: Charlie, eval: spreadcrossing -> PNL: -5874.0, buy_qty: 438, sell_qty: 398
Product: KELP, buyer: Charlie, seller: Caesar, eval: spreadcrossing -> PNL: -5797.5, buy_qty: 265, sell_qty: 0
Product: SQUID_INK, buyer: Caesar, seller: Charlie, eval: spreadcrossing -> PNL: -5624.0, buy_qty: 0, sell_qty: 262
Product: VOLCANIC_ROCK_VOUCHER_10000, buyer: Camilla, seller: Caesar, eval: midpoint -> PNL: -5511.0, buy_qty: 1562, sell_qty: 0
Product: KELP, buyer: Charlie, seller: Caesar, eval: midpoint -> PNL: -5509.5, buy_qty: 265, sell_qty: 0
Product: RAINFOREST_RESIN, buyer: Charlie, seller: Penelope, eval: spreadcrossing -> PNL: -5500.0, buy_qty: 398, sell_qty: 438
Product: PICNIC_BASKET2, buyer: Penelope, seller: Caesar, eval: midpoint -> PNL: -5457.0, buy_qty: 126, sell_qty: 144
Product: VOLCANIC_ROCK_VOUCHER_10250, buyer: Camilla, seller: Pablo, eval: spreadcrossing -> PNL: -5387.0, buy_qty: 388, sell_qty: 0
Product: SQUID_INK, buyer: Caesar, seller: Charlie, eval: midpoint -> PNL: -5338.0, buy_qty: 0, sell_qty: 262
Product: RAINFOREST_RESIN, buyer: Charlie, seller: Pablo, eval: spreadcrossing -> PNL: -5334.0, buy_qty: 515, sell_qty: 501
Product: VOLCANIC_ROCK_VOUCHER_10250, buyer: Camilla, seller: Pablo, eval: midpoint -> PNL: -5190.5, buy_qty: 388, sell_qty: 0
Product: PICNIC_BASKET1, buyer: Pablo, seller: Camilla, eval: midpoint -> PNL: -5175.0, buy_qty: 160, sell_qty: 331
Product: CROISSANTS, buyer: Camilla, seller: Caesar, eval: spreadcrossing -> PNL: -5026.0, buy_qty: 0, sell_qty: 672
Product: DJEMBES, buyer: Caesar, seller: Paris, eval: midpoint -> PNL: -4745.5, buy_qty: 1365, sell_qty: 1416
Product: PICNIC_BASKET2, buyer: Penelope, seller: Camilla, eval: spreadcrossing -> PNL: -4687.5, buy_qty: 155, sell_qty: 164
Product: SQUID_INK, buyer: Camilla, seller: Paris, eval: spreadcrossing -> PNL: -4669.0, buy_qty: 528, sell_qty: 570
Product: CROISSANTS, buyer: Camilla, seller: Caesar, eval: midpoint -> PNL: -4632.5, buy_qty: 0, sell_qty: 672
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Pablo, seller: Caesar, eval: spreadcrossing -> PNL: -4575.0, buy_qty: 9, sell_qty: 45
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Penelope, seller: Caesar, eval: spreadcrossing -> PNL: -4532.0, buy_qty: 115, sell_qty: 143
Product: SQUID_INK, buyer: Gina, seller: Charlie, eval: spreadcrossing -> PNL: -4323.5, buy_qty: 37, sell_qty: 216
Product: SQUID_INK, buyer: Camilla, seller: Charlie, eval: spreadcrossing -> PNL: -4149.5, buy_qty: 0, sell_qty: 65
Product: SQUID_INK, buyer: Camilla, seller: Charlie, eval: midpoint -> PNL: -4095.0, buy_qty: 0, sell_qty: 65
Product: VOLCANIC_ROCK, buyer: Peter, seller: Caesar, eval: spreadcrossing -> PNL: -4083.0, buy_qty: 191, sell_qty: 219
Product: SQUID_INK, buyer: Gina, seller: Charlie, eval: midpoint -> PNL: -4009.5, buy_qty: 37, sell_qty: 216
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Penelope, seller: Camilla, eval: spreadcrossing -> PNL: -3941.5, buy_qty: 361, sell_qty: 388
Product: PICNIC_BASKET2, buyer: Penelope, seller: Camilla, eval: midpoint -> PNL: -3858.5, buy_qty: 155, sell_qty: 164
Product: VOLCANIC_ROCK, buyer: Peter, seller: Caesar, eval: midpoint -> PNL: -3776.5, buy_qty: 191, sell_qty: 219
Product: JAMS, buyer: Caesar, seller: Paris, eval: spreadcrossing -> PNL: -3651.0, buy_qty: 1255, sell_qty: 1217
Product: CROISSANTS, buyer: Paris, seller: Caesar, eval: spreadcrossing -> PNL: -3538.0, buy_qty: 1098, sell_qty: 1170
Product: KELP, buyer: Charlie, seller: Gina, eval: spreadcrossing -> PNL: -3469.0, buy_qty: 211, sell_qty: 49
Product: VOLCANIC_ROCK_VOUCHER_10500, buyer: Camilla, seller: Caesar, eval: spreadcrossing -> PNL: -3372.0, buy_qty: 880, sell_qty: 0
Product: SQUID_INK, buyer: Paris, seller: Caesar, eval: spreadcrossing -> PNL: -3332.0, buy_qty: 134, sell_qty: 248
Product: SQUID_INK, buyer: Camilla, seller: Paris, eval: midpoint -> PNL: -3302.0, buy_qty: 528, sell_qty: 570
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Penelope, seller: Caesar, eval: spreadcrossing -> PNL: -3258.0, buy_qty: 114, sell_qty: 142
Product: KELP, buyer: Caesar, seller: Paris, eval: spreadcrossing -> PNL: -3228.0, buy_qty: 258, sell_qty: 146
Product: KELP, buyer: Charlie, seller: Gina, eval: midpoint -> PNL: -3150.5, buy_qty: 211, sell_qty: 49
Product: VOLCANIC_ROCK_VOUCHER_10500, buyer: Camilla, seller: Caesar, eval: midpoint -> PNL: -3043.5, buy_qty: 880, sell_qty: 0
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Penelope, seller: Camilla, eval: spreadcrossing -> PNL: -2985.5, buy_qty: 362, sell_qty: 393
Product: PICNIC_BASKET1, buyer: Caesar, seller: Penelope, eval: spreadcrossing -> PNL: -2976.5, buy_qty: 244, sell_qty: 231
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Camilla, seller: Penelope, eval: spreadcrossing -> PNL: -2873.5, buy_qty: 388, sell_qty: 361
Product: SQUID_INK, buyer: Paris, seller: Caesar, eval: midpoint -> PNL: -2865.5, buy_qty: 134, sell_qty: 248
Product: PICNIC_BASKET1, buyer: Caesar, seller: Camilla, eval: spreadcrossing -> PNL: -2816.5, buy_qty: 0, sell_qty: 31
Product: KELP, buyer: Caesar, seller: Paris, eval: midpoint -> PNL: -2690.5, buy_qty: 258, sell_qty: 146
Product: PICNIC_BASKET1, buyer: Caesar, seller: Camilla, eval: midpoint -> PNL: -2689.0, buy_qty: 0, sell_qty: 31
Product: PICNIC_BASKET1, buyer: Camilla, seller: Penelope, eval: spreadcrossing -> PNL: -2660.5, buy_qty: 127, sell_qty: 144
Product: VOLCANIC_ROCK_VOUCHER_10000, buyer: Camilla, seller: Pablo, eval: spreadcrossing -> PNL: -2580.5, buy_qty: 389, sell_qty: 0
Product: VOLCANIC_ROCK_VOUCHER_10000, buyer: Camilla, seller: Pablo, eval: midpoint -> PNL: -2393.0, buy_qty: 389, sell_qty: 0
Product: KELP, buyer: Paris, seller: Camilla, eval: spreadcrossing -> PNL: -2385.5, buy_qty: 569, sell_qty: 528
Product: RAINFOREST_RESIN, buyer: Gary, seller: Charlie, eval: spreadcrossing -> PNL: -2215.0, buy_qty: 147, sell_qty: 161
Product: CROISSANTS, buyer: Paris, seller: Caesar, eval: midpoint -> PNL: -2173.0, buy_qty: 1098, sell_qty: 1170
Product: RAINFOREST_RESIN, buyer: Charlie, seller: Gary, eval: spreadcrossing -> PNL: -2100.0, buy_qty: 161, sell_qty: 147
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Penelope, seller: Caesar, eval: midpoint -> PNL: -1973.0, buy_qty: 115, sell_qty: 143
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Penelope, seller: Caesar, eval: midpoint -> PNL: -1893.5, buy_qty: 114, sell_qty: 142
Product: SQUID_INK, buyer: Camilla, seller: Pablo, eval: spreadcrossing -> PNL: -1717.0, buy_qty: 97, sell_qty: 113
Product: JAMS, buyer: Caesar, seller: Paris, eval: midpoint -> PNL: -1637.0, buy_qty: 1255, sell_qty: 1217
Product: SQUID_INK, buyer: Charlie, seller: Penelope, eval: spreadcrossing -> PNL: -1577.0, buy_qty: 338, sell_qty: 354
Product: RAINFOREST_RESIN, buyer: Paris, seller: Charlie, eval: midpoint -> PNL: -1484.5, buy_qty: 1069, sell_qty: 1045
Product: SQUID_INK, buyer: Camilla, seller: Pablo, eval: midpoint -> PNL: -1467.0, buy_qty: 97, sell_qty: 113
Product: RAINFOREST_RESIN, buyer: Paris, seller: Caesar, eval: spreadcrossing -> PNL: -1446.0, buy_qty: 129, sell_qty: 102
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Caesar, seller: Penelope, eval: spreadcrossing -> PNL: -1405.0, buy_qty: 143, sell_qty: 115
Product: PICNIC_BASKET1, buyer: Camilla, seller: Penelope, eval: midpoint -> PNL: -1398.5, buy_qty: 127, sell_qty: 144
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Pablo, seller: Caesar, eval: midpoint -> PNL: -1389.5, buy_qty: 6, sell_qty: 45
Product: VOLCANIC_ROCK_VOUCHER_10000, buyer: Pablo, seller: Caesar, eval: spreadcrossing -> PNL: -1351.0, buy_qty: 6, sell_qty: 42
Product: PICNIC_BASKET2, buyer: Penelope, seller: Pablo, eval: spreadcrossing -> PNL: -1346.5, buy_qty: 0, sell_qty: 5
Product: PICNIC_BASKET2, buyer: Penelope, seller: Pablo, eval: midpoint -> PNL: -1335.5, buy_qty: 0, sell_qty: 5
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Pablo, seller: Caesar, eval: midpoint -> PNL: -1267.0, buy_qty: 9, sell_qty: 45
Product: PICNIC_BASKET1, buyer: Penelope, seller: Caesar, eval: spreadcrossing -> PNL: -1252.5, buy_qty: 231, sell_qty: 244
Product: MAGNIFICENT_MACARONS, buyer: Caesar, seller: Camilla, eval: spreadcrossing -> PNL: -1232.0, buy_qty: 20, sell_qty: 28
Product: SQUID_INK, buyer: Penelope, seller: Camilla, eval: spreadcrossing -> PNL: -1215.0, buy_qty: 71, sell_qty: 71
Product: VOLCANIC_ROCK_VOUCHER_10000, buyer: Caesar, seller: Penelope, eval: spreadcrossing -> PNL: -1137.0, buy_qty: 105, sell_qty: 85
Product: RAINFOREST_RESIN, buyer: Pablo, seller: Caesar, eval: spreadcrossing -> PNL: -1136.0, buy_qty: 77, sell_qty: 86
Product: RAINFOREST_RESIN, buyer: Caesar, seller: Paris, eval: spreadcrossing -> PNL: -1094.0, buy_qty: 102, sell_qty: 129
Product: SQUID_INK, buyer: Gary, seller: Camilla, eval: spreadcrossing -> PNL: -1089.5, buy_qty: 46, sell_qty: 31
Product: RAINFOREST_RESIN, buyer: Gina, seller: Charlie, eval: spreadcrossing -> PNL: -1067.0, buy_qty: 62, sell_qty: 83
Product: MAGNIFICENT_MACARONS, buyer: Caesar, seller: Camilla, eval: midpoint -> PNL: -1064.5, buy_qty: 20, sell_qty: 28
Product: SQUID_INK, buyer: Penelope, seller: Camilla, eval: midpoint -> PNL: -1048.5, buy_qty: 71, sell_qty: 71
Product: VOLCANIC_ROCK_VOUCHER_10000, buyer: Penelope, seller: Camilla, eval: spreadcrossing -> PNL: -1038.5, buy_qty: 259, sell_qty: 288
Product: KELP, buyer: Penelope, seller: Charlie, eval: spreadcrossing -> PNL: -1029.5, buy_qty: 349, sell_qty: 340
Product: VOLCANIC_ROCK_VOUCHER_10500, buyer: Camilla, seller: Pablo, eval: spreadcrossing -> PNL: -1028.0, buy_qty: 385, sell_qty: 0
Product: SQUID_INK, buyer: Gary, seller: Camilla, eval: midpoint -> PNL: -995.0, buy_qty: 46, sell_qty: 31
Product: KELP, buyer: Paris, seller: Camilla, eval: midpoint -> PNL: -963.0, buy_qty: 569, sell_qty: 528
Product: KELP, buyer: Gary, seller: Charlie, eval: spreadcrossing -> PNL: -954.5, buy_qty: 212, sell_qty: 205
Product: RAINFOREST_RESIN, buyer: Pablo, seller: Charlie, eval: midpoint -> PNL: -954.5, buy_qty: 501, sell_qty: 515
Product: SQUID_INK, buyer: Gary, seller: Paris, eval: spreadcrossing -> PNL: -926.5, buy_qty: 7, sell_qty: 26
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Camilla, seller: Penelope, eval: spreadcrossing -> PNL: -915.5, buy_qty: 393, sell_qty: 362
